"","quarter","Unemp","CPI","r"
"95",1983-10-01,8.8,0.997017231984998,8.8
"96",1984-01-01,8,1.28143695333511,9.17
"97",1984-04-01,7.7,1.16846509549733,9.79666666666667
"98",1984-07-01,7.5,0.771459949533071,10.32
"99",1984-10-01,7.4,0.956030226198212,8.80333333333333
"100",1985-01-01,7.3,0.569261499328633,8.18333333333333
"101",1985-04-01,7.3,1.22239415857139,7.46
"102",1985-07-01,7.4,0.652074970043692,7.10666666666667
"103",1985-10-01,7.1,0.740058881817163,7.16666666666667
"104",1986-01-01,6.7,1.28206884290618,6.89666666666667
"105",1986-04-01,7.1,-1.09790672824124,6.14
"106",1986-07-01,7,0.73327551293918,5.52333333333333
"107",1986-10-01,7,0.637234746225879,5.35333333333333
"108",1987-01-01,6.6,1.08304307743694,5.53666666666667
"109",1987-04-01,6.3,1.16020935525469,5.65666666666667
"110",1987-07-01,6.1,0.971310064649966,6.04333333333333
"111",1987-10-01,6,1.04896066710198,5.86333333333333
"112",1988-01-01,5.7,0.865806274311431,5.72333333333333
"113",1988-04-01,5.4,1.02916860365481,6.21
"114",1988-07-01,5.4,1.10310834322735,7.01
"115",1988-10-01,5.4,1.17451014582821,7.72666666666667
"116",1989-01-01,5.4,1.07840116017455,8.54
"117",1989-04-01,5.2,1.55549595551943,8.41
"118",1989-07-01,5.2,1.1308682714354,7.84333333333333
"119",1989-10-01,5.3,0.720291229405845,7.65333333333333
"120",1990-01-01,5.4,1.66077363996608,7.76
"121",1990-04-01,5.4,1.09205453466608,7.74666666666667
"122",1990-07-01,5.5,1.23363168176063,7.47666666666667
"123",1990-10-01,5.9,2.19789067187754,6.99
"124",1991-01-01,6.4,0.969794993479489,6.02333333333333
"125",1991-04-01,6.7,0.296516154983451,5.56
"126",1991-07-01,6.8,0.810914874925839,5.37666666666667
"127",1991-10-01,7,0.731532157637282,4.54
"128",1992-01-01,7.3,0.798552337892833,3.89333333333333
"129",1992-04-01,7.4,0.792225965571092,3.68
"130",1992-07-01,7.7,0.785999044737729,3.08333333333333
"131",1992-10-01,7.3,0.850465792283384,3.07
"132",1993-01-01,7.3,0.773290320884978,2.96
"133",1993-04-01,7.1,0.697839538146194,2.96666666666667
